,PREDICTED CLASS
0,2
1,13
2,0
3,2
4,17
5,17
6,11
7,17
8,22
9,11
10,2
11,9
12,2
13,8
14,2
15,10
16,0
17,8
18,2
19,12
20,6
21,0
22,9
23,17
24,8
25,17
26,22
27,8
28,17
29,6
30,14
31,0
32,10
33,16
34,10
35,10
36,6
37,8
38,15
39,14
40,16
41,10
42,13
43,12
44,13
45,17
46,10
47,14
48,8
49,0
50,7
51,8
52,10
53,13
54,14
55,2
56,0
57,9
58,17
59,14
60,12
61,11
62,11
63,12
64,0
65,6
66,6
67,14
68,12
69,13
70,13
71,22
72,12
73,8
74,22
75,17
76,10
77,17
78,6
79,8
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PRECISION
0,0.42857142857142855
1,0.0
2,0.42857142857142855
3,0.0
4,0.0
5,0.0
6,0.5
7,1.0
8,0.3333333333333333
9,0.6666666666666666
10,0.25
11,0.5
12,0.3333333333333333
13,0.6666666666666666
14,0.3333333333333333
15,1.0
16,1.0
17,0.3
18,0.0
19,0.0
20,0.0
21,0.0
22,0.5
23,0.0
24,0.0
25,0.0
,RECALL
0,0.75
1,0.0
2,0.75
3,0.0
4,0.0
5,0.0
6,0.75
7,0.3333333333333333
8,1.0
9,0.5
10,0.6666666666666666
11,0.5
12,0.6666666666666666
13,1.0
14,0.6666666666666666
15,0.3333333333333333
16,0.6666666666666666
17,0.75
18,0.0
19,0.0
20,0.0
21,0.0
22,0.6666666666666666
23,0.0
24,0.0
25,0.0
,F1-MEASURE
0,0.5454545454545454
1,0.0
2,0.5454545454545454
3,0.0
4,0.0
5,0.0
6,0.6
7,0.5
8,0.5
9,0.5714285714285715
10,0.36363636363636365
11,0.5
12,0.4444444444444444
13,0.8
14,0.4444444444444444
15,0.5
16,0.8
17,0.4285714285714285
18,0.0
19,0.0
20,0.0
21,0.0
22,0.5714285714285715
23,0.0
24,0.0
25,0.0

Accuracy: ,0.4375
Macro Average F1: ,0.3121101121101121
Weighted Average F1: ,0.354193722943723
