,PREDICTED CLASS
0,4
1,13
2,7
3,2
4,18
5,17
6,11
7,23
8,22
9,21
10,2
11,9
12,11
13,19
14,4
15,5
16,6
17,8
18,2
19,12
20,16
21,0
22,25
23,17
24,8
25,1
26,21
27,8
28,24
29,14
30,3
31,23
32,10
33,16
34,10
35,10
36,16
37,19
38,15
39,15
40,16
41,11
42,13
43,17
44,13
45,7
46,10
47,14
48,24
49,0
50,7
51,3
52,21
53,20
54,3
55,14
56,25
57,9
58,15
59,14
60,7
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,12
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,19
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,PRECISION
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.6
8,0.75
9,1.0
10,0.5
11,1.0
12,0.3333333333333333
13,1.0
14,0.75
15,0.75
16,0.75
17,0.75
18,1.0
19,0.6666666666666666
20,1.0
21,0.6
22,1.0
23,1.0
24,1.0
25,1.0
,RECALL
0,0.75
1,0.5
2,1.0
3,1.0
4,1.0
5,0.5
6,1.0
7,1.0
8,1.0
9,0.5
10,0.6666666666666666
11,1.0
12,0.3333333333333333
13,0.75
14,1.0
15,1.0
16,1.0
17,0.75
18,0.6666666666666666
19,1.0
20,0.6666666666666666
21,1.0
22,0.6666666666666666
23,1.0
24,1.0
25,0.6666666666666666
,F1-MEASURE
0,0.8571428571428571
1,0.6666666666666666
2,1.0
3,1.0
4,1.0
5,0.6666666666666666
6,1.0
7,0.7499999999999999
8,0.8571428571428571
9,0.6666666666666666
10,0.5714285714285715
11,1.0
12,0.3333333333333333
13,0.8571428571428571
14,0.8571428571428571
15,0.8571428571428571
16,0.8571428571428571
17,0.75
18,0.8
19,0.8
20,0.8
21,0.7499999999999999
22,0.8
23,1.0
24,1.0
25,0.8

Accuracy: ,0.825
Macro Average F1: ,0.8191391941391941
Weighted Average F1: ,0.8236309523809524
